date,maxTemp,minTemp,,
1982/4/15,74,42,,
1982/4/16,63,32,,
1982/4/17,65,23,,
1982/4/18,71,42,,
1982/4/19,58,32,,
1982/4/20,37,25,,
1982/4/21,54,18,,
1982/4/22,68,30,,
1982/4/23,75,34,,
1982/4/24,75,44,,
1982/4/25,74,40,,
1982/4/26,65,40,,
1982/4/27,52,43,,
1982/4/28,72,36,,
1982/4/29,69,40,,
1982/4/30,68,39,,
1982/5/1,78,39,,
1982/5/2,82,44,,
1982/5/3,78,47,,
1982/5/4,76,53,,
1982/5/5,65,37,,
1982/5/6,59,28,,
1982/5/7,67,34,,
1982/5/8,72,44,,
1982/5/9,79,45,,
1982/5/10,73,46,,
1982/5/11,65,40,,
1982/5/12,45,38,,
1982/5/13,52,34,,
1982/5/14,56,40,,
1982/5/15,64,36,,
1982/5/16,64,40,,
1982/5/17,70,41,,
1982/5/18,76,42,,
1982/5/19,74,50,,
1982/5/20,68,45,,
1982/5/21,70,40,,
1982/5/22,75,44,,
1982/5/23,74,49,,
1982/5/24,63,44,,
1982/5/25,58,39,,
1982/5/26,75,38,,
1982/5/27,81,48,,
1982/5/28,81,54,,
1982/5/29,77,51,,
1982/5/30,68,44,,
1982/5/31,64,42,,
1982/6/1,64,45,,
1982/6/2,69,44,,
1982/6/3,63,45,,
1982/6/4,79,41,,
1982/6/5,72,40,,
1982/6/6,74,54,,
1982/6/7,79,41,,
1982/6/8,82,48,,
1982/6/9,76,40,,
1982/6/10,74,44,,
1982/6/11,71,50,,
1982/6/12,75,46,,
1982/6/13,74,53,,
1982/6/14,76,51,,
1982/6/15,74,51,,
1982/6/16,79,41,,
1982/6/17,74,54,,
1982/6/18,63,48,,
1982/6/19,71,41,,
1982/6/20,81,47,,
1982/6/21,82,50,,
1982/6/22,81,51,,
1982/6/23,83,52,,
1982/6/24,74,52,,
1982/6/25,72,54,,
1982/6/26,74,48,,
1982/6/27,82,47,,
1982/6/28,93,55,,
1982/6/29,90,61,,
1982/6/30,85,55,,
1982/7/1,78,56,,
1982/7/2,85,54,,
1982/7/3,89,54,,
1982/7/4,90,54,,
1982/7/5,84,59,,
1982/7/6,80,52,,
1982/7/7,80,51,,
1982/7/8,84,52,,
1982/7/9,81,56,,
1982/7/10,81,50,,
1982/7/11,83,54,,
1982/7/12,86,53,,
1982/7/13,82,60,,
1982/7/14,89,57,,
1982/7/15,93,56,,
1982/7/16,94,55,,
1982/7/17,89,55,,
1982/7/18,92,62,,
1982/7/19,94,59,,
1982/7/20,96,62,,
1982/7/21,96,64,,
1982/7/22,96,65,,
1982/7/23,98,63,,
1982/7/24,95,62,,
1982/7/25,91,62,,
1982/7/26,85,63,,
1982/7/27,81,62,,
1982/7/28,71,58,,
1982/7/29,67,58,,
1982/7/30,76,55,,
1982/7/31,86,55,,
1982/8/1,93,58,,
1982/8/2,91,64,,
1982/8/3,88,63,,
1982/8/4,84,60,,
1982/8/5,89,57,,
1982/8/6,90,57,,
1982/8/7,86,58,,
1982/8/8,83,57,,
1982/8/9,89,60,,
1982/8/10,80,63,,
1982/8/11,80,56,,
1982/8/12,89,58,,
1982/8/13,79,59,,
1982/8/14,87,57,,
1982/8/15,88,60,,
1982/8/16,86,57,,
1982/8/17,84,58,,
1982/8/18,91,60,,
1982/8/19,89,67,,
1982/8/20,84,61,,
1982/8/21,84,57,,
1982/8/22,81,59,,
1982/8/23,86,59,,
1982/8/24,82,59,,
1982/8/25,79,57,,
1982/8/26,90,60,,
1982/8/27,89,58,,
1982/8/28,90,57,,
1982/8/29,87,56,,
1982/8/30,87,58,,
1982/8/31,90,59,,
1982/9/1,87,61,,
1982/9/2,80,53,,
1982/9/3,87,55,,
1982/9/4,89,59,,
1982/9/5,76,59,,
1982/9/6,76,48,,
1982/9/7,79,51,,
1982/9/8,80,53,,
1982/9/9,87,56,,
1982/9/10,84,57,,
1982/9/11,63,47,,
1982/9/12,59,43,,
1982/9/13,57,46,,
1982/9/14,55,40,,
1982/9/15,58,43,,
1982/9/16,75,44,,
1982/9/17,65,48,,
1982/9/18,74,45,,
1982/9/19,68,52,,
1982/9/20,67,48,,
1982/9/21,75,46,,
1982/9/22,82,51,,
1982/9/23,77,53,,
1982/9/24,71,47,,
1982/9/25,71,51,,
1982/9/26,75,58,,
1982/9/27,79,49,,
1982/9/28,70,45,,
1982/9/29,70,41,,
1982/9/30,61,39,,
1982/10/1,52,37,,
1982/10/2,68,37,,
1982/10/3,73,38,,
1982/10/4,70,44,,
1982/10/5,72,41,,
1982/10/6,67,34,,
1982/10/7,76,38,,
1982/10/8,64,39,,
1982/10/9,47,32,,
1982/10/10,52,32,,
1982/10/11,55,27,,
1982/10/12,56,34,,
1982/10/13,55,34,,
1982/10/14,68,34,,
1982/10/15,70,43,,
1982/10/16,70,42,,
1982/10/17,74,43,,
1982/10/18,72,45,,
1982/10/19,57,29,,
1982/10/20,56,27,,
1982/10/21,62,33,,
1982/10/22,68,36,,
1982/10/23,71,41,,
1982/10/24,74,45,,
1982/10/25,68,52,,
1982/10/26,69,44,,
1982/10/27,62,35,,
1982/10/28,61,35,,
1982/10/29,51,32,,
1982/10/30,57,32,,
1982/10/31,60,37,,
1982/12/1,44,30,,
1982/12/2,44,32,,
1982/12/3,50,24,,
1982/12/4,58,29,,
1982/12/5,50,31,,
1982/12/6,53,29,,
1982/12/7,46,20,,
1982/12/8,24,14,,
1982/12/9,49,14,,
1982/12/10,49,29,,
1982/12/11,35,24,,
1982/12/12,60,25,,
1982/12/13,56,26,,
1982/12/14,47,29,,
1982/12/15,44,25,,
1982/12/16,53,27,,
1982/12/17,69,34,,
1982/12/18,56,34,,
1982/12/19,55,24,,
1982/12/20,63,31,,
1982/12/21,66,37,,
1982/12/22,57,43,,
1982/12/23,51,31,,
1982/12/24,41,24,,
1982/12/25,39,14,,
1982/12/26,36,10,,
1982/12/27,35,24,,
1982/12/28,28,3,,
1982/12/29,29,5,,
1982/12/30,30,7,,
1982/12/31,40,11,,
1983/2/12,51,20,,
1983/2/13,62,25,,
1983/2/14,63,30,,
1983/2/15,52,28,,
1983/2/16,52,26,,
1983/2/17,61,26,,
1983/2/18,58,26,,
1983/2/19,69,30,,
1983/2/20,55,25,,
1983/2/21,52,21,,
1983/2/22,58,22,,
1983/2/23,58,27,,
1983/2/24,60,26,,
1983/2/25,42,20,,
1983/2/26,60,23,,
1983/2/27,63,29,,
1983/2/28,60,29,,
1983/3/1,60,30,,
1983/3/2,66,35,,
1983/3/3,68,37,,
1983/3/4,65,33,,
1983/3/5,51,34,,
1983/3/6,42,29,,
1983/3/7,53,28,,
1983/3/8,56,28,,
1983/3/9,44,26,,
1983/3/10,54,28,,
1983/3/11,63,30,,
1983/3/12,68,33,,
1983/3/13,69,37,,
1983/3/14,68,43,,
1983/3/15,64,33,,
1983/3/16,37,30,,
1983/3/17,41,24,,
1983/3/18,32,22,,
1983/3/19,31,15,,
1983/3/20,31,17,,
1983/3/21,34,8,,
1983/3/22,39,15,,
1983/3/23,36,22,,
